id,label,cluster
DB07244,"5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE",56
DB00571,HEMANGEOL,0
DB12332,RUBRACA,0
DB00274,CEFMETAZOLE,0
DB11555,ZOLAZEPAM,0
DB07768,"(10ALPHA,13ALPHA,14BETA,17ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE",473
DB04265,N-ACETYL-BETA-NEURAMINIC ACID,338
DB07192,(3S)-N-(3-BROMOPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,315
DB04116,ALLOLACTOSE,261
DB07306,ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE,158
DB03060,SRI-9662,554
DB03974,L-HOMOARGININE,60
DB07114,4-[(METHYLSULFONYL)AMINO]BENZOIC ACID,175
DB02558,N-(3-PHENYL-2-SULFANYLPROPANOYL)PHENYLALANYLALANINE,355
DB00878,SCRUB,313
DB07518,(2R)-2-ETHYL-1-HEXANESULFONIC ACID,630
DB02741,CD564,205
DB07841,GERANYLGERANYL DIPHOSPHATE,121
DB09222,ARTISS,0
DB07872,5-CHLORO-N-[(3R)-1-(2-{[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]AMINO}-2-OXOETHYL)PYRROLIDIN-3-YL]THIOPHENE-2-CARBOXAMIDE,319
DB13993,MRK-409,0
DB08414,"6-CHLORO-2-(1-FURO[2,3-C]PYRIDIN-5-YL-ETHYLSULFANYL)-PYRIMIDIN-4-YLAMINE",101
DB06852,4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE,424
DB00918,AXERT,0
DB01882,"(2S)-2-AMINO-4-(METHYLSULFANYL)-1-PYRIDIN-2-YLBUTANE-1,1-DIOL",378
DB06887,"[(3S)-3-(METHYLCARBAMOYL)-2-{[(2-METHYL-2-PROPANYL)OXY]CARBONYL}-1,2,3,4-TETRAHYDRO-7-ISOQUINOLINYL]SULFAMIC ACID",25
DB01678,RU84687,47
DB01189,SUPRANE,0
DB04338,SB220025,68
DB00448,HP-PAC,555
DB00130,ENDARI,0
DB07126,O6-CYCLOHEXYLMETHOXY-2-(4'-SULPHAMOYLANILINO) PURINE,526
DB02428,QUINALDIC ACID,459
DB07862,"7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE",536
DB07049,(2R)-1-[(4-TERT-BUTYLPHENYL)SULFONYL]-2-METHYL-4-(4-NITROPHENYL)PIPERAZINE,543
DB08645,"6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE",137
DB13375,EDRECOLOMAB,0
DB08181,2-((3'-METHYL-4'-HYDROXYPHENYL)AZO)BENZOIC ACID,620
DB08231,MYRISTIC ACID,322
DB01772,"3-[3-(2,3-DIHYDROXY-PROPYLAMINO)-PHENYL]-4-(5-FLUORO-1-METHYL-1H-INDOL-3-YL)-PYRROLE-2,5-DIONE",470
DB01603,METICILLIN,0
DB02999,QUISQUALATE,244
DB13169,NANDROLONE,0
DB02474,BMSC-0013,337
DB13058,METHANESULFONYL FLUORIDE,0
DB03606,(S)-ROLIPRAM,567
DB04256,4-(1-AMINO-1-CARBOXY-ETHYL)-BENZOIC ACID,280
DB00187,ESMOLOL,564
DB02494,ALPHA-HYDROXY-BETA-PHENYL-PROPIONIC ACID,9
DB11828,NERLYNX,459
DB07863,2-CHLORO-5-NITRO-N-PHENYLBENZAMIDE,206
DB09186,NISOXETINE,560
DB03472,CYCLOHEXYL-HEXYL-BETA-D-MALTOSIDE,342
DB03663,"1-[(2-AMINO-6,9-DIHYDRO-1H-PURIN-6-YL)OXY]-3-METHYL-2-BUTANOL",57
DB06799,UTA,0
DB03403,CYTIDINE-5'-MONOPHOSPHATE,502
DB05476,WX-UK1,383
DB00544,CARAC,0
DB00269,CHLOROTRIANISENE,13
DB06584,TG4010,0
DB04278,2-[2-(2-CYCLOHEXYL-2-GUANIDINO-ACETYLAMINO)-ACETYLAMINO]-N-(3-MERCAPTO-PROPYL)-PROPIONAMIDE,284
DB03088,PIDOLIC ACID,280
DB12089,LORVOTUZUMAB MERTANSINE,0
DB08112,N-({6-[(4-CYANO-2-FLUOROBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID,388
DB08351,N-CYCLOPROPYL-4-METHYL-3-{2-[(2-MORPHOLIN-4-YLETHYL)AMINO]QUINAZOLIN-6-YL}BENZAMIDE,71
DB08747,"(11R)-10-ACETYL-11-(2,4-DICHLOROPHENYL)-6-HYDROXY-3,3-DIMETHYL-2,3,4,5,10,11-HEXAHYDRO-1H-DIBENZO[B,E][1,4]DIAZEPIN-1-ONE",625
DB08204,3-DIPHENOL-6-NITRO-3H-BENZO[DE]ISOCHROMEN-1-ONE,507
DB07368,4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE,107
DB03859,1-THIO-BETA-D-GLUCOPYRANOSE,240
DB02374,XYLOSE-DERIVED IMIDAZOLE,630
DB07241,"7-CARBOXY-5-HYDROXY-12,13-DIHYDRO-6H-INDOLO[2,3-A]PYRROLO[3,4-C]CARBAZOLE",488
DB03827,"(3S)-3,4-DI-N-HEXANOYLOXYBUTYL-1-PHOSPHOCHOLINE",337
DB11618,ZORUBICIN,0
DB01430,ALMITRINE,198
DB08340,"N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE",589
DB04949,PEXELIZUMAB,0
DB04020,"4-(2-{[4-{[3-(4-CHLOROPHENYL)PROPYL]SULFANYL}-6-(1-PIPERAZINYL)-1,3,5-TRIAZIN-2-YL]AMINO}ETHYL)PHENOL",213
DB02522,PHOSPHONOPYRUVATE,493
DB02274,7-KETO-8-AMINOPELARGONIC ACID,311
DB03951,N-ACETYL-D-GLUCOSAMINE-6-PHOSPHATE,344
DB06285,FORTEO,396
DB08565,L-1-NAPHTHYL-2-ACETAMIDO-ETHANE BORONIC ACID,490
DB11531,MILBEMYCIN OXIME,0
DB02126,4-CARBOXYCINNAMIC ACID,538
DB08822,EDARBI,182
DB00855,AMELUZ,438
DB07856,6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,152
DB04514,PHOSPHORIC ACID-2'-[2'-DEOXY-URIDINE]ESTER-5'-GUANOSINE ESTER,472
DB07411,PHENYLALANINE BORONIC ACID,378
DB02566,8-HYDROXY-4-(1-HYDROXYETHYL)QUINOLINE-2-CARBOXYLIC ACID,459
DB06750,GINSENOSIDE RG1,121
DB12775,ABITUZUMAB,0
DB07940,"9-(3-IODOBENZYLAMINO)-1,2,3,4-TETRAHYDROACRIDINE",457
DB01246,ALIMEMAZINE,225
DB01719,THIO-MALTOPENTAOSE,353
DB08778,"[4-AMINO-2-(TERT-BUTYLAMINO)-1,3-THIAZOL-5-YL](PHENYL)METHANONE",260
DB13713,QUIFENADINE,0
DB05035,EPROTIROME,357
DB00463,METHARBITAL,0
DB07625,"4-(2-AMINOETHOXY)-N-(2,5-DIETHOXYPHENYL)-3,5-DIMETHYLBENZAMIDE",177
DB01209,DEZOCINE,0
DB03097,"PMP-HYDROXYISOXAZOLE, PYRIDOXAMINE-5-PHOSPHATE-HYDROXYISOXAZOLE",446
DB07646,"UNDECYLAMINE-N,N-DIMETHYL-N-OXIDE",407
DB01645,GENISTEIN,215
DB03196,4-NITROPHENYL-ARA,331
DB02334,(R)-2-HYDROXY-3-SULFOPROPANOIC ACID,112
DB01807,"N-[(3Z)-5-TERT-BUTYL-2-PHENYL-1,2-DIHYDRO-3H-PYRAZOL-3-YLIDENE]-N'-(4-CHLOROPHENYL)UREA",67
DB00178,ALTACE,355
DB04549,"4-(AMINOSULFONYL)-N-[(2,3,4-TRIFLUOROPHENYL)METHYL]-BENZAMIDE",140
DB06802,ILEVRO,0
DB09295,TALNIFLUMATE,0
DB03492,"LAMBDA-BIS(2,2'-BIPYRIDINE)IMIDAZOLE OSMIUM (II)",451
DB08010,"(3Z)-1-[(6-FLUORO-4H-1,3-BENZODIOXIN-8-YL)METHYL]-4-[(E)-2-PHENYLETHENYL]-1H-INDOLE-2,3-DIONE 3-OXIME",13
DB04702,"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE",121
DB04430,3-(4-PHENYLAMINO-PHENYLAMINO)-2-(1H-TETRAZOL-5-YL)-ACRYLONITRILE,290
DB02545,FEXARAMINE,182
DB07339,"(3S)-3-HYDROXY-1-METHYL-2,3-DIHYDRO-1H-INDOLE-5,6-DIONE",444
DB03650,(3E)-3-[(4-HYDROXYPHENYL)IMINO]-1H-INDOL-2(3H)-ONE,280
DB00135,PROSOL,365
DB08323,3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE,306
DB00193,CONZIP,0
DB03592,PTERIN-6-YL-METHYL-MONOPHOSPHATE,113
DB00822,ANTABUSE,0
DB03977,N-TRIMETHYLLYSINE,243
DB09462,HUM,338
DB06767,ZYPANAX,0
DB06634,CASOPITANT,515
DB02935,DIGLYME,338
DB00894,TESTOLACTONE,630
DB02820,"1-AZEPAN-1-YL-2-PHENYL-2-(4-THIOXO-1,4-DIHYDRO-PYRAZOLO[3,4-D]PYRIMIDIN-5-YL)ETHANONE ADDUCT",2
DB04100,"(1,10 PHENANTHROLINE)-(TRI-CARBON MONOXIDE) RHENIUM (I)",630
DB11477,XYLAZINE,0
DB07913,HOMOPHENYLALANINYLMETHANE,378
DB08725,"(S)-5-(7-(4-(4-ETHYL-4,5-DIHYDRO-2-OXAZOLYL)PHENOXY)HEPTYL)-3-METHYLISOXAZOLE",565
DB00133,PROSOL,438
DB07834,"N-(CYCLOPROPYLMETHYL)-2'-METHYL-5'-(5-METHYL-1,3,4-OXADIAZOL-2-YL)BIPHENYL-4-CARBOXAMIDE",73
DB04374,"4-CARBOXY-5-(1-PENTYL)HEXYLSULFANYL-1,2,3-TRIAZOLE",571
DB07952,N-[1H-INDOL-3-YL-ACETYL]GLYCINE ACID,306
DB12991,DEOXYSPERGUALIN,0
DB06116,ELDELUMAB,0
DB03420,"2,4-DEOXY-4-GUANIDINO-5-N-ACETYL-NEURAMINIC ACID",338
DB11617,ACLARUBICIN,0
DB07155,(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE,315
DB01267,INVEGA,617
DB06527,TRAMIPROSATE,0
DB06980,(2S)-2-(1H-INDOL-3-YL)HEXANOIC ACID,487
DB04411,ALPHA-N-DICHLOROACETYL-P-AMINOPHENYLSERINOL,290
DB01014,GIAZO,0
DB07885,TALVIRALINE,91
DB11960,CARBOXYAMIDOTRIAZOLE,0
DB05100,PRINOMASTAT,0
DB07831,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE",176
DB02141,"S,S'-(1,4-PHENYLENE-BIS(1,2-ETHANEDIYL))BIS-ISOTHIOUREA",54
DB03361,"2-{(9AS)-9A-[(1S)-1-HYDROXYETHYL]-2,7-DIMETHYL-9A,10-DIHYDRO-5H-PYRIMIDO[4,5-D][1,3]THIAZOLO[3,2-A]PYRIMIDIN-8-YL}ETHYL TRIHYDROGEN DIPHOSPHATE",585
DB04721,"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",511
DB13598,DIETHYL ETHER,0
DB00392,ETHOPROPAZINE,0
DB03640,BETA-HYDROXYASPARTIC ACID,428
DB03411,"2-HYDROXYMETHYL-PYRROLIDINE-3,4-DIOL",563
DB08316,"4-AMINO-7,7-DIMETHYL-7,8-DIHYDROQUINAZOLIN-5(6H)-ONE",547
DB04723,2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID,135
DB00900,VIDEX,605
DB00950,ALLEGRA,160
DB13654,MONTMORILLONITE,0
DB09216,TOLFENAMIC ACID,0
DB01367,AZILECT,0
DB12274,ADUCANUMAB,0
DB04872,OSANETANT,349
DB07594,"4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL",218
DB02859,SORAPHEN A,621
DB06156,TESOFENSINE,630
DB02511,2-HYDROXY-5-({1-[(2-NAPHTHYLOXY)METHYL]-3-OXOPROP-1-ENYL}AMINO)TYROSINE,365
DB07232,VELIPARIB,559
DB04454,ALPHA-AMINOBUTYRIC ACID,387
DB02793,ISOCHORISMIC ACID,112
DB03704,12-HYDROXYDODECANOIC ACID,112
DB03374,"3,5-DIIODOTYROSINE",365
DB02200,3-[N-[BENZYLOXYCARBONYL]-PHENYLALANINYL-AMINO]-5-PHENYL-PENTANE-1-SULFONYLMETHYLBENZENE,372
DB11638,ARTENIMOL,0
DB04724,"(S)-2-((S)-3-ISOBUTYL-2,5-DIOXO-4-QUINOLIN-3-YLMETHYL-[1,4]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE",459
DB13604,GUANAZODINE,0
DB12352,BIZELESIN,0
DB08064,N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA,79
DB05258,NATURAL ALPHA INTERFERON,396
DB04614,(R)-TACRINE(10)-HUPYRIDONE,432
DB06840,"DIETHYL [(1R)-1,5-DIAMINOPENTYL]BORONATE",109
DB03868,3-DEHYDROQUINIC ACID,112
DB08115,2-AMINOETHYL NAPHTHALEN-1-YLACETATE,490
DB01938,L-HISTIDINE BETA NAPHTHYLAMIDE,438
DB00721,PROCAINE,339
DB13692,TRETOQUINOL,0
DB08108,N-({6-[(4-CYANOBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID,388
DB03705,6-METHYLAMINO-5-NITROISOCYTOSINE,630
DB12338,CARISBAMATE,0
DB05053,MB-07803,280
DB03142,ALPHA-L-ARABINOSE,332
DB12156,CORDYCEPIN,0
DB02076,6-PHOSPHO-D-GLUCONIC ACID,256
DB01393,BEZALIP SR,0
DB04120,"4-METHYL-1,2-BENZENEDIOL",118
DB01087,PRIMAQUINE,0
DB12248,TULOBUTEROL,313
DB00683,BUCCOLAM,0
DB01509,"3,4-METHYLENEDIOXYAMPHETAMINE",0
DB00504,LEVALLORPHAN,0
DB00451,LEVO-T,0
DB07050,"5-[(PHENYLSULFONYL)AMINO]-1,3,4-THIADIAZOLE-2-SULFONAMIDE",125
DB04555,CYTIDINE-5'-DIPHOSPHATE,502
DB12001,VERZENIO,0
DB08815,LATUDA,552
DB08506,N-{(2S)-3-[(1R)-1-AMINOETHYL](HYDROXY)PHOSPHORYL-2-BENZYLPROPANOYL}-L-PHENYLALANINE,372
DB00560,TYGACIL,0
DB02143,N-ISOPROPYL-N'-HYDROXYGUANIDINE,407
DB11367,CEFROXADINE,119
DB07836,1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL,512
DB08521,4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE,68
DB04722,"2-(3-CHLORO-6-{[2,2-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-1-OXIDOPYRIDIN-2-YL)-N-[1-(3-CHLOROPHENYL)ETHYL]ACETAMIDE",24
DB02731,ETHYLMERCURITHIOSALICYLIC ACID,357
DB00167,PROSOL,438
DB07931,HEXESTROL,13
DB00653,EPSAL,630
DB11639,DIBOTERMIN ALFA,0
DB00150,PROSOL,0
DB02062,"N-[3-[(1-AMINOETHYL)(HYDROXY)PHOSPHORYL]-2-(1,1'-BIPHENYL-4-YLMETHYL)PROPANOYL]ALANINE",403
DB04554,8-BROMOADENOSINE-5'-DIPHOSPHATE,498
DB03216,"(1'R,2'S)-9-(2-HYDROXY-3'-KETO-CYCLOPENTEN-1-YL)ADENINE",619
DB03820,"(2S,5R,6R)-6-{[(6R)-6-(GLYCYLAMINO)-7-OXIDO-7-OXOHEPTANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLATE",355
DB06229,OCAPERIDONE,599
DB00806,TRENTAL,0
DB09261,CERTOPARIN,0
DB13557,THIOPROPAZATE,0
DB00279,CYTOMEL,372
DB01431,ALLYLESTRENOL,0
DB01747,COPROGEN,306
DB00204,TIKOSYN,0
DB08931,ADEMPAS,630
DB04954,TECADENOSON,608
DB01956,TOZAL,5
DB01586,URSO,496
DB07717,"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE",399
DB12456,BOCOCIZUMAB,0
DB03893,THIONICOTINAMIDE-ADENINE-DINUCLEOTIDE,2
DB00399,ZOMETA,0
DB03183,"1-(4-AMINOPHENYL)-3,5-DIMETHYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER",227
DB07101,PD-0325901,297
DB02578,GLYCYL-L-ALPHA-AMINO-EPSILON-PIMELYL-D-ALANYL-D-ALANINE,355
DB02726,2-PHOSPHOGLYCOLIC ACID,513
DB07845,"2-FLUORO-6-{[2-({2-METHOXY-4-[(METHYLSULFONYL)METHYL]PHENYL}AMINO)-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL]AMINO}BENZAMIDE",357
DB03466,BMS184394,500
DB04863,LEFRADAFIBAN,182
DB07750,"(2R)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]-2-PYRIMIDINYL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)-2-PROPANOL",154
DB06637,AMPYRA,0
DB01247,MARPLAN,0
DB08275,N-DODECANOYL-L-TYROSINE,365
DB02258,SR11254,500
DB06607,REMOVAB,0
DB04066,PARA-COUMARIC ACID,544
DB03084,"CYCLOPROPYL-{4-[5-(3,4-DICHLOROPHENYL)-2-[(1-METHYL)-PIPERIDIN]-4-YL-3-PROPYL-3H-IMIDAZOL-4-YL]-PYRIMIDIN-2-YL}AMINE",221
DB08995,DIOSMIN,186
DB06587,MITEMCINAL,308
DB13823,PIPEMIDIC ACID,0
DB06192,NIMOTUZUMAB,0
DB09183,EXVIERA,507
DB06557,LERDELIMUMAB,0
DB07179,"3-((3-BROMO-5-O-TOLYLPYRAZOLO[1,5-A]PYRIMIDIN-7-YLAMINO)METHYL)PYRIDINE 1-OXIDE",364
DB13772,RUFLOXACIN,0
DB04237,TRIS(HYDROXYETHYL)AMINOMETHANE,407
DB07970,5-[(2-METHYL-5-{[3-(TRIFLUOROMETHYL)PHENYL]CARBAMOYL}PHENYL)AMINO]PYRIDINE-3-CARBOXAMIDE,176
DB00180,AEROSPAN,486
DB03053,1-AMINOCYCLOPROPYLPHOSPHONATE,562
DB04326,DIHYDROXYACETONE PHOSPHATE,256
DB13331,PYRITHYLDIONE,0
DB02780,BETA-3-CYSTEINE,340
DB12694,CE-326597,0
DB04168,2-AMINO-5-BROMO-6-PHENYLPYRIMIDIN-4-OL,495
DB08881,ZELBORAF,278
DB05396,ALBINTERFERON ALFA-2B,0
DB00836,A D,199
DB07743,"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",603
DB03103,THYMIDINE-5'- DIPHOSPHATE,502
DB02259,"3-(3,5-DIBROMO-4-HYDROXY-BENZOYL)-2-ETHYL-BENZOFURAN-6-SULFONIC ACID (4-SULFAMOYL-PHENYL)-AMIDE",18
DB03333,(4-SULFAMOYL-PHENYL)-THIOCARBAMIC ACID O-(2-THIOPHEN-3-YL-ETHYL) ESTER,125
DB07398,"2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",611
DB00080,CUBICIN,0
DB03077,"3-AMINO-4-{3-[2-(2-PROPOXY-ETHOXY)-ETHOXY]-PROPYLAMINO}-CYCLOBUT-3-ENE-1,2-DIONE",407
DB11945,AVELUMAB,396
DB12863,SIVELESTAT,0
DB04657,CARBOXIN,314
DB05437,RIGSCAN CR49,0
DB08388,"5-(2-ETHOXYETHYL)-5-[4-(4-FLUOROPHENOXY)PHENOXY]PYRIMIDINE-2,4,6(1H,3H,5H)-TRIONE",258
DB00986,CUVPOSA,0
DB06210,PROMACTA,182
DB01593,AMD,630
DB06406,IDRAPARINUX,0
DB00210,EPIDUO,0
DB09272,VIBERZI,0
DB11994,DIACEREIN,0
DB08457,"4-(3,5-DIMETHYLPHENOXY)-5-(FURAN-2-YLMETHYLSULFANYLMETHYL)-3-IODO-6-METHYLPYRIDIN-2(1H)-ONE",99
DB07624,"1-{[(3R)-3-METHYL-4-({4-[(1S)-2,2,2-TRIFLUORO-1-HYDROXY-1-METHYLETHYL]PHENYL}SULFONYL)PIPERAZIN-1-YL]METHYL}CYCLOPROPANECARBOXAMIDE",166
DB02234,S-ETHYLISOTHIOUREA,630
DB02609,4-HYDROXY-L-THREONINE-5-MONOPHOSPHATE,243
DB04238,N-ALPHA-(2-NAPHTHYLSULFONYL)-N-(3-AMIDINO-L-PHENYLALANINYL)-D-PIPECOLINIC ACID,96
DB05511,PICLIDENOSON,608
DB08427,PREPHENIC ACID,493
DB07565,CHLORAMPHENICOL SUCCINATE,206
DB08564,(2E)-N-{4-[(3-BROMOPHENYL)AMINO]QUINAZOLIN-6-YL}-4-(DIMETHYLAMINO)BUT-2-ENAMIDE,48
DB00089,CAPROMAB PENDETIDE,396
DB05134,TANESPIMYCIN,3
DB02837,O4-SULFONYLGALACTOSE,240
DB08157,ETHYL 3-[4-(AMINOSULFONYL)PHENYL]PROPANOATE,167
DB05470,VX-702,70
DB02909,5-(2-CHLOROPHENYL)FURAN-2-CARBOXYLIC ACID,595
DB11752,BRYOSTATIN 1,0
DB08755,N-[(1S)-2-{[(1R)-2-(BENZYLOXY)-1-CYANO-1-METHYLETHYL]AMINO}-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE,421
DB13396,NEOCITRULLAMON,0
DB00042,MYOBLOC,0
DB05254,FIBRINOLYSIN,396
DB02569,"2',3'-DEHYDRO-2',3'-DEOXY-THYMIDINE 5'-DIPHOSPHATE",502
DB00814,MOBIC,0
DB07810,"3-(4-HYDROXYPHENYL)-1-(2,4,6-TRIHYDROXYPHENYL)PROPAN-1-ONE",630
DB04304,L-GLUCONIC ACID,112
DB09277,CHOLINE C 11,0
DB00903,EDECRIN,357
DB06724,TUMS,0
DB01921,XYLOSE-DERIVED LACTAM OXIME,451
DB13346,BUFEXAMAC,0
DB11133,TOZAL,0
DB11662,RABUSERTIB,0
DB09210,PIRACETAM,0
DB04335,INOSINE,608
DB01952,"1,N6-ETHENOADENINE",533
DB11988,OCREVUS,396
DB08033,"(5R)-N,N-DIETHYL-5-METHYL-2-[(THIOPHEN-2-YLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",602
DB03450,CEPHALOTHIN GROUP,280
DB04790,"2,5-BIS-O-{3-[AMINO(IMINO)METHYL]PHENYL}-1,4:3,6-DIANHYDRO-D-GLUCITOL",109
DB08339,"6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE",453
DB01484,"4-BROMO-2,5-DIMETHOXYAMPHETAMINE",0
DB08332,9-(2-CARBOXYETHYL)-10-METHYLANTHRACENE ENDOPEROXIDE,593
DB01705,BIS(5-AMIDINO-BENZIMIDAZOLYL)METHANE,100
DB00078,ZEVALIN,0
DB03255,PHENOL,479
DB12459,BELOTECAN,0
DB12590,INDIPLON,0
DB01282,CARBETOCIN,284
DB09260,PARNAPARIN,0
DB01396,DIGITOXIN,496
DB07912,2-OXOHEPTYLPHOSPHONIC ACID,562
DB02435,AMINOMETHYLCYCLOHEXANE,405
DB04973,LERAFAON,396
DB01236,ULTANE,0
DB00707,PHOTOFRIN,0
DB12545,INDOBUFEN,0
DB06939,"N-(TRANS-4-{(1S,2S)-2-AMINO-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-1-METHYL-3-OXOPROPYL}CYCLOHEXYL)-N-METHYLACETAMIDE",33
DB00884,ACTONEL,0
DB09000,CYAMEMAZINE,0
